阿尔巴尼亚,68,69,75,212,30
阿塞拜疆,63,64,64,191,44
爱尔兰,70,72,74,216,27
爱沙尼亚,63,57,60,180,46
安道尔,60,53,54,167,50
奥地利,79,75,76,230,18
白俄罗斯,63,69,69,201,39
保加利亚,67,69,68,204,38
北爱尔兰,67,71,70,208,36
北马其顿,71,71,67,209,35
比利时,89,86,83,258,1
冰岛,72,76,70,218,26
波黑,79,81,72,232,14
波兰,88,78,80,246,8
丹麦,76,82,79,237,12
德国,85,86,85,256,3
俄罗斯,78,79,77,234,13
法国,89,86,85,260,0
法罗群岛,61,59,56,176,48
芬兰,70,69,72,211,32
格鲁吉亚,66,70,71,207,37
哈萨克斯坦,66,66,63,195,43
荷兰,83,83,84,250,7
黑山,72,69,69,210,33
捷克,73,75,77,225,24
科索沃,74,68,67,209,34
克罗地亚,79,86,76,241,9
拉脱维亚,60,55,60,175,49
立陶宛,64,59,57,180,47
列支敦士登,43,61,55,159,52
卢森堡,64,65,60,189,45
罗马尼亚,71,73,72,216,28
马耳他,57,54,56,167,51
摩尔多瓦,61,69,66,196,42
挪威,77,77,76,230,19
葡萄牙,92,82,82,256,4
瑞典,79,75,75,229,20
瑞士,79,79,81,239,11
塞尔维亚,81,82,76,239,10
塞浦路斯,68,64,67,199,40
圣马力诺,55,50,51,156,53
斯洛伐克,72,79,77,228,21
斯洛文尼亚,74,77,77,228,22
苏格兰,65,77,73,215,29
土耳其,79,77,76,232,15
威尔士,80,79,73,232,17
乌克兰,79,76,77,232,16
西班牙,83,87,88,258,2
希腊,73,75,78,226,23
匈牙利,72,69,77,218,25
亚美尼亚,68,70,59,197,41
以色列,76,71,65,212,31
意大利,85,84,84,253,5
英格兰,88,81,83,252,6
直布罗陀,51,50,50,151,54
